#SampleID	Sample	Event	Sport	Age	Date	City	State	Run	Type
SH.MC093	MC093	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.LV043	LV043	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME009	ME009	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC022	MC022	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC099	MC099	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC039	MC039	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC034	MC034	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC097	MC097	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME008	ME008	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC032	MC032	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME007	ME007	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC014	MC014	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC014	MC014	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC032	MC032	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.ME005	ME005	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.ME003	ME003	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC036	MC036	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC016	MC016	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC042	MC042	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC013	MC013	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC029	MC029	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC033	MC033	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC100	MC100	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC028	MC028	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.LS082	LS082	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT001	LT001	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.FY012	FY012	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS086	LS086	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE044	AE044	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.FY016	FY016	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS094	LS094	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ036	AQ036	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT007	LT007	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AB082	AB082	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE042	AE042	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AQ038	AQ038	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS100	LS100	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT018	LT018	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT006	LT006	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT013	LT013	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AB081	AB081	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT014	LT014	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS093	LS093	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ035	AQ035	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.FY013	FY013	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT004	LT004	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AB081	AB081	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY012	FY012	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ034	AQ034	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AB086	AB086	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS083	LS083	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE042	AE042	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE043	AE043	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS100	LS100	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT005	LT005	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT014	LT014	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE047	AE047	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT002	LT002	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT015	LT015	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS081	LS081	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT010	LT010	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT008	LT008	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS095	LS095	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE054	AE054	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS097	LS097	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AB085	AB085	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS089	LS089	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT010	LT010	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS090	LS090	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT018	LT018	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT008	LT008	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE053	AE053	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE060	AE060	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT009	LT009	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE041	AE041	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE055	AE055	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE058	AE058	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AQ032	AQ032	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS096	LS096	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT009	LT009	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS092	LS092	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE054	AE054	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ036	AQ036	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE059	AE059	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT003	LT003	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT011	LT011	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AQ039	AQ039	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY013	FY013	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS087	LS087	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS098	LS098	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ040	AQ040	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE059	AE059	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE048	AE048	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE053	AE053	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AB086	AB086	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
