	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPR_SH.MC047	Adult	Philadelphia	2/18/2014	76ers				3.0	MC047	Basketball	PA	cpr				shoe	
CPR_CP.ME007	Adult	Philadelphia	2/18/2014	76ers				3.0	ME007	Basketball	PA	cpr				phone	
CPR_CP.MC019	Adult	Philadelphia	2/18/2014	76ers				3.0	MC019	Basketball	PA	cpr				phone	
CPR_CP.MC026	Adult	Philadelphia	2/18/2014	76ers				3.0	MC026	Basketball	PA	cpr				phone	
CPR_SH.ME006	Adult	Philadelphia	2/18/2014	76ers				3.0	ME006	Basketball	PA	cpr				shoe	
CPR_SH.MC029	Adult	Philadelphia	2/18/2014	76ers				3.0	MC029	Basketball	PA	cpr				shoe	
CPR_CP.ME006	Adult	Philadelphia	2/18/2014	76ers				3.0	ME006	Basketball	PA	cpr				phone	
CPR_SH.MC095	Adult	Philadelphia	2/18/2014	76ers				3.0	MC095	Basketball	PA	cpr				shoe	
CPR_SH.MC037	Adult	Philadelphia	2/18/2014	76ers				3.0	MC037	Basketball	PA	cpr				shoe	
CPR_CP.MC096	Adult	Philadelphia	2/18/2014	76ers				3.0	MC096	Basketball	PA	cpr				phone	
CPR_SH.MC009	Adult	Philadelphia	2/18/2014	76ers				3.0	MC009	Basketball	PA	cpr				shoe	
CPR_CP.MC033	Adult	Philadelphia	2/18/2014	76ers				3.0	MC033	Basketball	PA	cpr				phone	
CPR_SH.MC025	Adult	Philadelphia	2/18/2014	76ers				3.0	MC025	Basketball	PA	cpr				shoe	
CPR_SH.MC030	Adult	Philadelphia	2/18/2014	76ers				3.0	MC030	Basketball	PA	cpr				shoe	
CPR_SH.MC018	Adult	Philadelphia	2/18/2014	76ers				3.0	MC018	Basketball	PA	cpr				shoe	
CPR_CP.MC097	Adult	Philadelphia	2/18/2014	76ers				3.0	MC097	Basketball	PA	cpr				phone	
CPR_SH.MC036	Adult	Philadelphia	2/18/2014	76ers				3.0	MC036	Basketball	PA	cpr				shoe	
CPR_SH.ME004	Adult	Philadelphia	2/18/2014	76ers				3.0	ME004	Basketball	PA	cpr				shoe	
CPR_CP.ME004	Adult	Philadelphia	2/18/2014	76ers				3.0	ME004	Basketball	PA	cpr				phone	
CPR_SH.MC043	Adult	Philadelphia	2/18/2014	76ers				3.0	MC043	Basketball	PA	cpr				shoe	
CPR_SH.MC035	Adult	Philadelphia	2/18/2014	76ers				3.0	MC035	Basketball	PA	cpr				shoe	
CPR_CP.MC025	Adult	Philadelphia	2/18/2014	76ers				3.0	MC025	Basketball	PA	cpr				phone	
CPR_CP.ME005	Adult	Philadelphia	2/18/2014	76ers				3.0	ME005	Basketball	PA	cpr				phone	
CPR_SH.MC031	Adult	Philadelphia	2/18/2014	76ers				3.0	MC031	Basketball	PA	cpr				shoe	
CPR_SH.MC098	Adult	Philadelphia	2/18/2014	76ers				3.0	MC098	Basketball	PA	cpr				shoe	
CPR_CP.MC024	Adult	Philadelphia	2/18/2014	76ers				3.0	MC024	Basketball	PA	cpr				phone	
CPR_CP.MC007	Adult	Philadelphia	2/18/2014	76ers				3.0	MC007	Basketball	PA	cpr				phone	
CPR_SH.MC041	Adult	Philadelphia	2/18/2014	76ers				3.0	MC041	Basketball	PA	cpr				shoe	
CPR_CP.MC098	Adult	Philadelphia	2/18/2014	76ers				3.0	MC098	Basketball	PA	cpr				phone	
CPR_SH.MC100	Adult	Philadelphia	2/18/2014	76ers				3.0	MC100	Basketball	PA	cpr				shoe	
CPR_CP.ME009	Adult	Philadelphia	2/18/2014	76ers				3.0	ME009	Basketball	PA	cpr				phone	
CPR_CP.ME008	Adult	Philadelphia	2/18/2014	76ers				3.0	ME008	Basketball	PA	cpr				phone	
CPR_CP.MC039	Adult	Philadelphia	2/18/2014	76ers				3.0	MC039	Basketball	PA	cpr				phone	
CPR_CP.MC030	Adult	Philadelphia	2/18/2014	76ers				3.0	MC030	Basketball	PA	cpr				phone	
CPR_CP.MC062	Adult	Philadelphia	2/18/2014	76ers				3.0	MC062	Basketball	PA	cpr				phone	
CPR_CP.MC035	Adult	Philadelphia	2/18/2014	76ers				3.0	MC035	Basketball	PA	cpr				phone	
CPR_CP.MC099	Adult	Philadelphia	2/18/2014	76ers				3.0	MC099	Basketball	PA	cpr				phone	
CPR_SH.MC016	Adult	Philadelphia	2/18/2014	76ers				3.0	MC016	Basketball	PA	cpr				shoe	
CPR_SH.MC007	Adult	Philadelphia	2/18/2014	76ers				3.0	MC007	Basketball	PA	cpr				shoe	
CPR_CP.MC034	Adult	Philadelphia	2/18/2014	76ers				3.0	MC034	Basketball	PA	cpr				phone	
CPR_CP.MC095	Adult	Philadelphia	2/18/2014	76ers				3.0	MC095	Basketball	PA	cpr				phone	
CPR_CP.MC047	Adult	Philadelphia	2/18/2014	76ers				3.0	MC047	Basketball	PA	cpr				phone	
CPR_SH.MC028	Adult	Philadelphia	2/18/2014	76ers				3.0	MC028	Basketball	PA	cpr				shoe	
CPR_CP.MC093	Adult	Philadelphia	2/18/2014	76ers				3.0	MC093	Basketball	PA	cpr				phone	
CPR_SH.MC026	Adult	Philadelphia	2/18/2014	76ers				3.0	MC026	Basketball	PA	cpr				shoe	
CPR_CP.LV043	Adult	Philadelphia	2/18/2014	76ers				3.0	LV043	Basketball	PA	cpr				phone	
CPR_SH.MC024	Adult	Philadelphia	2/18/2014	76ers				3.0	MC024	Basketball	PA	cpr				shoe	
CPR_CP.MC043	Adult	Philadelphia	2/18/2014	76ers				3.0	MC043	Basketball	PA	cpr				phone	
CPR_SH.MC019	Adult	Philadelphia	2/18/2014	76ers				3.0	MC019	Basketball	PA	cpr				shoe	
CPR_SH.ME003	Adult	Philadelphia	2/18/2014	76ers				3.0	ME003	Basketball	PA	cpr				shoe	
CPR_SH.MC093	Adult	Philadelphia	2/18/2014	76ers				3.0	MC093	Basketball	PA	cpr				shoe	
CPR_SH.LV043	Adult	Philadelphia	2/18/2014	76ers				3.0	LV043	Basketball	PA	cpr				shoe	
CPR_SH.ME009	Adult	Philadelphia	2/18/2014	76ers				3.0	ME009	Basketball	PA	cpr				shoe	
CPR_SH.MC022	Adult	Philadelphia	2/18/2014	76ers				3.0	MC022	Basketball	PA	cpr				shoe	
CPR_SH.MC099	Adult	Philadelphia	2/18/2014	76ers				3.0	MC099	Basketball	PA	cpr				shoe	
CPR_SH.MC039	Adult	Philadelphia	2/18/2014	76ers				3.0	MC039	Basketball	PA	cpr				shoe	
CPR_SH.MC034	Adult	Philadelphia	2/18/2014	76ers				3.0	MC034	Basketball	PA	cpr				shoe	
CPR_SH.MC097	Adult	Philadelphia	2/18/2014	76ers				3.0	MC097	Basketball	PA	cpr				shoe	
CPR_SH.ME008	Adult	Philadelphia	2/18/2014	76ers				3.0	ME008	Basketball	PA	cpr				shoe	
CPR_SH.MC032	Adult	Philadelphia	2/18/2014	76ers				3.0	MC032	Basketball	PA	cpr				shoe	
CPR_CP.MC014	Adult	Philadelphia	2/18/2014	76ers				3.0	MC014	Basketball	PA	cpr				phone	
CPR_SH.MC014	Adult	Philadelphia	2/18/2014	76ers				3.0	MC014	Basketball	PA	cpr				shoe	
CPR_CP.MC032	Adult	Philadelphia	2/18/2014	76ers				3.0	MC032	Basketball	PA	cpr				phone	
CPR_CP.ME003	Adult	Philadelphia	2/18/2014	76ers				3.0	ME003	Basketball	PA	cpr				phone	
CPR_CP.MC036	Adult	Philadelphia	2/18/2014	76ers				3.0	MC036	Basketball	PA	cpr				phone	
CPR_CP.MC016	Adult	Philadelphia	2/18/2014	76ers				3.0	MC016	Basketball	PA	cpr				phone	
CPR_SH.MC042	Adult	Philadelphia	2/18/2014	76ers				3.0	MC042	Basketball	PA	cpr				shoe	
CPR_SH.MC013	Adult	Philadelphia	2/18/2014	76ers				3.0	MC013	Basketball	PA	cpr				shoe	
CPR_CP.MC029	Adult	Philadelphia	2/18/2014	76ers				3.0	MC029	Basketball	PA	cpr				phone	
CPR_SH.MC033	Adult	Philadelphia	2/18/2014	76ers				3.0	MC033	Basketball	PA	cpr				shoe	
CPR_CP.MC100	Adult	Philadelphia	2/18/2014	76ers				3.0	MC100	Basketball	PA	cpr				phone	
CPR_CP.MC028	Adult	Philadelphia	2/18/2014	76ers				3.0	MC028	Basketball	PA	cpr				phone	
CPR_CP.LS082	Mixed	San Francisco	11/2/2013	BASF				1.0	LS082		CA	cpr				phone	
CPR_CP.LT001	Mixed	San Francisco	11/2/2013	BASF				1.0	LT001		CA	cpr				phone	
CPR_SH.FY012	Mixed	San Francisco	11/2/2013	BASF				1.0	FY012		CA	cpr				shoe	
CPR_CP.LS086	Mixed	San Francisco	11/2/2013	BASF				1.0	LS086		CA	cpr				phone	
CPR_CP.AE044	Mixed	San Francisco	11/2/2013	BASF				1.0	AE044		CA	cpr				phone	
CPR_CP.FY016	Mixed	San Francisco	11/2/2013	BASF				1.0	FY016		CA	cpr				phone	
CPR_SH.LS094	Mixed	San Francisco	11/2/2013	BASF				1.0	LS094		CA	cpr				shoe	
CPR_CP.AQ036	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ036		CA	cpr				phone	
CPR_CP.LT007	Mixed	San Francisco	11/2/2013	BASF				1.0	LT007		CA	cpr				phone	
CPR_SH.AB082	Mixed	San Francisco	11/2/2013	BASF				1.0	AB082		CA	cpr				shoe	
CPR_SH.AE042	Mixed	San Francisco	11/2/2013	BASF				1.0	AE042		CA	cpr				shoe	
CPR_SH.AQ038	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ038		CA	cpr				shoe	
CPR_CP.LS100	Mixed	San Francisco	11/2/2013	BASF				1.0	LS100		CA	cpr				phone	
CPR_SH.LT018	Mixed	San Francisco	11/2/2013	BASF				1.0	LT018		CA	cpr				shoe	
CPR_CP.LT006	Mixed	San Francisco	11/2/2013	BASF				1.0	LT006		CA	cpr				phone	
CPR_CP.LT013	Mixed	San Francisco	11/2/2013	BASF				1.0	LT013		CA	cpr				phone	
CPR_CP.AB081	Mixed	San Francisco	11/2/2013	BASF				1.0	AB081		CA	cpr				phone	
CPR_SH.LS093	Mixed	San Francisco	11/2/2013	BASF				1.0	LS093		CA	cpr				shoe	
CPR_CP.AQ035	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ035		CA	cpr				phone	
CPR_SH.FY013	Mixed	San Francisco	11/2/2013	BASF				1.0	FY013		CA	cpr				shoe	
CPR_CP.LT004	Mixed	San Francisco	11/2/2013	BASF				1.0	LT004		CA	cpr				phone	
CPR_SH.AB081	Mixed	San Francisco	11/2/2013	BASF				1.0	AB081		CA	cpr				shoe	
CPR_CP.FY012	Mixed	San Francisco	11/2/2013	BASF				1.0	FY012		CA	cpr				phone	
CPR_SH.AQ034	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ034		CA	cpr				shoe	
CPR_SH.AB086	Mixed	San Francisco	11/2/2013	BASF				1.0	AB086		CA	cpr				shoe	
CPR_CP.LS083	Mixed	San Francisco	11/2/2013	BASF				1.0	LS083		CA	cpr				phone	
CPR_CP.AE042	Mixed	San Francisco	11/2/2013	BASF				1.0	AE042		CA	cpr				phone	
CPR_SH.AE043	Mixed	San Francisco	11/2/2013	BASF				1.0	AE043		CA	cpr				shoe	
CPR_SH.LS100	Mixed	San Francisco	11/2/2013	BASF				1.0	LS100		CA	cpr				shoe	
CPR_SH.LT005	Mixed	San Francisco	11/2/2013	BASF				1.0	LT005		CA	cpr				shoe	
CPR_SH.AE047	Mixed	San Francisco	11/2/2013	BASF				1.0	AE047		CA	cpr				shoe	
CPR_CP.LT002	Mixed	San Francisco	11/2/2013	BASF				1.0	LT002		CA	cpr				phone	
CPR_CP.LT015	Mixed	San Francisco	11/2/2013	BASF				1.0	LT015		CA	cpr				phone	
CPR_CP.LS081	Mixed	San Francisco	11/2/2013	BASF				1.0	LS081		CA	cpr				phone	
CPR_CP.LT010	Mixed	San Francisco	11/2/2013	BASF				1.0	LT010		CA	cpr				phone	
CPR_CP.LT008	Mixed	San Francisco	11/2/2013	BASF				1.0	LT008		CA	cpr				phone	
CPR_CP.LS095	Mixed	San Francisco	11/2/2013	BASF				1.0	LS095		CA	cpr				phone	
CPR_SH.AE054	Mixed	San Francisco	11/2/2013	BASF				1.0	AE054		CA	cpr				shoe	
CPR_CP.LS097	Mixed	San Francisco	11/2/2013	BASF				1.0	LS097		CA	cpr				phone	
CPR_CP.AB085	Mixed	San Francisco	11/2/2013	BASF				1.0	AB085		CA	cpr				phone	
CPR_CP.LS089	Mixed	San Francisco	11/2/2013	BASF				1.0	LS089		CA	cpr				phone	
CPR_SH.LT010	Mixed	San Francisco	11/2/2013	BASF				1.0	LT010		CA	cpr				shoe	
CPR_CP.LT018	Mixed	San Francisco	11/2/2013	BASF				1.0	LT018		CA	cpr				phone	
CPR_SH.LT008	Mixed	San Francisco	11/2/2013	BASF				1.0	LT008		CA	cpr				shoe	
CPR_CP.AE053	Mixed	San Francisco	11/2/2013	BASF				1.0	AE053		CA	cpr				phone	
CPR_SH.LT009	Mixed	San Francisco	11/2/2013	BASF				1.0	LT009		CA	cpr				shoe	
CPR_SH.AE041	Mixed	San Francisco	11/2/2013	BASF				1.0	AE041		CA	cpr				shoe	
CPR_SH.AE055	Mixed	San Francisco	11/2/2013	BASF				1.0	AE055		CA	cpr				shoe	
CPR_CP.AE058	Mixed	San Francisco	11/2/2013	BASF				1.0	AE058		CA	cpr				phone	
CPR_CP.AQ032	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ032		CA	cpr				phone	
CPR_SH.LS096	Mixed	San Francisco	11/2/2013	BASF				1.0	LS096		CA	cpr				shoe	
CPR_CP.LS092	Mixed	San Francisco	11/2/2013	BASF				1.0	LS092		CA	cpr				phone	
CPR_CP.AE054	Mixed	San Francisco	11/2/2013	BASF				1.0	AE054		CA	cpr				phone	
CPR_SH.AQ036	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ036		CA	cpr				shoe	
CPR_CP.AE059	Mixed	San Francisco	11/2/2013	BASF				1.0	AE059		CA	cpr				phone	
CPR_CP.LT003	Mixed	San Francisco	11/2/2013	BASF				1.0	LT003		CA	cpr				phone	
CPR_SH.LT011	Mixed	San Francisco	11/2/2013	BASF				1.0	LT011		CA	cpr				shoe	
CPR_SH.LS087	Mixed	San Francisco	11/2/2013	BASF				1.0	LS087		CA	cpr				shoe	
CPR_CP.LS098	Mixed	San Francisco	11/2/2013	BASF				1.0	LS098		CA	cpr				phone	
CPR_SH.AQ040	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ040		CA	cpr				shoe	
CPR_SH.AE059	Mixed	San Francisco	11/2/2013	BASF				1.0	AE059		CA	cpr				shoe	
CPR_SH.AE048	Mixed	San Francisco	11/2/2013	BASF				1.0	AE048		CA	cpr				shoe	
CPR_SH.AE053	Mixed	San Francisco	11/2/2013	BASF				1.0	AE053		CA	cpr				shoe	
CPR_CP.AB086	Mixed	San Francisco	11/2/2013	BASF				1.0	AB086		CA	cpr				phone	
CPR_SH.AQ032	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ032		CA	cpr				shoe	
CPR_SH.LT001	Mixed	San Francisco	11/2/2013	BASF				1.0	LT001		CA	cpr				shoe	
CPR_SH.FY020	Mixed	San Francisco	11/2/2013	BASF				1.0	FY020		CA	cpr				shoe	
CPR_CP.LS093	Mixed	San Francisco	11/2/2013	BASF				1.0	LS093		CA	cpr				phone	
CPR_SH.AQ031	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ031		CA	cpr				shoe	
CPR_CP.FY011	Mixed	San Francisco	11/2/2013	BASF				1.0	FY011		CA	cpr				phone	
CPR_SH.LS099	Mixed	San Francisco	11/2/2013	BASF				1.0	LS099		CA	cpr				shoe	
CPR_SH.AQ037	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ037		CA	cpr				shoe	
CPR_CP.LS094	Mixed	San Francisco	11/2/2013	BASF				1.0	LS094		CA	cpr				phone	
CPR_CP.LT005	Mixed	San Francisco	11/2/2013	BASF				1.0	LT005		CA	cpr				phone	
CPR_CP.LS090	Mixed	San Francisco	11/2/2013	BASF				1.0	LS090		CA	cpr				phone	
CPR_SH.LT012	Mixed	San Francisco	11/2/2013	BASF				1.0	LT012		CA	cpr				shoe	
CPR_SH.LS098	Mixed	San Francisco	11/2/2013	BASF				1.0	LS098		CA	cpr				shoe	
CPR_CP.AQ038	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ038		CA	cpr				phone	
CPR_SH.LS091	Mixed	San Francisco	11/2/2013	BASF				1.0	LS091		CA	cpr				shoe	
CPR_CP.LS085	Mixed	San Francisco	11/2/2013	BASF				1.0	LS085		CA	cpr				phone	
CPR_SH.LS095	Mixed	San Francisco	11/2/2013	BASF				1.0	LS095		CA	cpr				shoe	
CPR_SH.LS097	Mixed	San Francisco	11/2/2013	BASF				1.0	LS097		CA	cpr				shoe	
CPR_SH.LS092	Mixed	San Francisco	11/2/2013	BASF				1.0	LS092		CA	cpr				shoe	
CPR_SH.AB084	Mixed	San Francisco	11/2/2013	BASF				1.0	AB084		CA	cpr				shoe	
CPR_SH.LS081	Mixed	San Francisco	11/2/2013	BASF				1.0	LS081		CA	cpr				shoe	
CPR_SH.AE056	Mixed	San Francisco	11/2/2013	BASF				1.0	AE056		CA	cpr				shoe	
CPR_CP.LS084	Mixed	San Francisco	11/2/2013	BASF				1.0	LS084		CA	cpr				phone	
CPR_SH.AE057	Mixed	San Francisco	11/2/2013	BASF				1.0	AE057		CA	cpr				shoe	
CPR_SH.AB083	Mixed	San Francisco	11/2/2013	BASF				1.0	AB083		CA	cpr				shoe	
CPR_CP.LS088	Mixed	San Francisco	11/2/2013	BASF				1.0	LS088		CA	cpr				phone	
CPR_SH.LT013	Mixed	San Francisco	11/2/2013	BASF				1.0	LT013		CA	cpr				shoe	
CPR_CP.LS096	Mixed	San Francisco	11/2/2013	BASF				1.0	LS096		CA	cpr				phone	
CPR_CP.AB083	Mixed	San Francisco	11/2/2013	BASF				1.0	AB083		CA	cpr				phone	
CPR_CP.AE041	Mixed	San Francisco	11/2/2013	BASF				1.0	AE041		CA	cpr				phone	
CPR_SH.LT002	Mixed	San Francisco	11/2/2013	BASF				1.0	LT002		CA	cpr				shoe	
CPR_SH.AE044	Mixed	San Francisco	11/2/2013	BASF				1.0	AE044		CA	cpr				shoe	
CPR_SH.AB069	Mixed	San Francisco	11/2/2013	BASF				1.0	AB069		CA	cpr				shoe	
CPR_CP.FY020	Mixed	San Francisco	11/2/2013	BASF				1.0	FY020		CA	cpr				phone	
CPR_CP.AE055	Mixed	San Francisco	11/2/2013	BASF				1.0	AE055		CA	cpr				phone	
CPR_SH.AB085	Mixed	San Francisco	11/2/2013	BASF				1.0	AB085		CA	cpr				shoe	
CPR_SH.AE051	Mixed	San Francisco	11/2/2013	BASF				1.0	AE051		CA	cpr				shoe	
CPR_CP.LT017	Mixed	San Francisco	11/2/2013	BASF				1.0	LT017		CA	cpr				phone	
CPR_CP.AB069	Mixed	San Francisco	11/2/2013	BASF				1.0	AB069		CA	cpr				phone	
CPR_CP.LS091	Mixed	San Francisco	11/2/2013	BASF				1.0	LS091		CA	cpr				phone	
CPR_SH.FY017	Mixed	San Francisco	11/2/2013	BASF				1.0	FY017		CA	cpr				shoe	
CPR_CP.FY017	Mixed	San Francisco	11/2/2013	BASF				1.0	FY017		CA	cpr				phone	
CPR_CP.LT016	Mixed	San Francisco	11/2/2013	BASF				1.0	LT016		CA	cpr				phone	
CPR_SH.AE058	Mixed	San Francisco	11/2/2013	BASF				1.0	AE058		CA	cpr				shoe	
CPR_SH.LS085	Mixed	San Francisco	11/2/2013	BASF				1.0	LS085		CA	cpr				shoe	
CPR_CP.LT011	Mixed	San Francisco	11/2/2013	BASF				1.0	LT011		CA	cpr				phone	
CPR_CP.FY014	Mixed	San Francisco	11/2/2013	BASF				1.0	FY014		CA	cpr				phone	
CPR_CP.AE051	Mixed	San Francisco	11/2/2013	BASF				1.0	AE051		CA	cpr				phone	
CPR_SH.LT003	Mixed	San Francisco	11/2/2013	BASF				1.0	LT003		CA	cpr				shoe	
CPR_CP.AQ033	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ033		CA	cpr				phone	
CPR_SH.FY014	Mixed	San Francisco	11/2/2013	BASF				1.0	FY014		CA	cpr				shoe	
CPR_CP.AQ037	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ037		CA	cpr				phone	
CPR_SH.LT006	Mixed	San Francisco	11/2/2013	BASF				1.0	LT006		CA	cpr				shoe	
CPR_SH.LS086	Mixed	San Francisco	11/2/2013	BASF				1.0	LS086		CA	cpr				shoe	
CPR_SH.LS082	Mixed	San Francisco	11/2/2013	BASF				1.0	LS082		CA	cpr				shoe	
CPR_CP.LT019	Mixed	San Francisco	11/2/2013	BASF				1.0	LT019		CA	cpr				phone	
CPR_SH.LT007	Mixed	San Francisco	11/2/2013	BASF				1.0	LT007		CA	cpr				shoe	
CPR_SH.LT004	Mixed	San Francisco	11/2/2013	BASF				1.0	LT004		CA	cpr				shoe	
CPR_CP.AE047	Mixed	San Francisco	11/2/2013	BASF				1.0	AE047		CA	cpr				phone	
CPR_SH.AQ035	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ035		CA	cpr				shoe	
CPR_SH.LT017	Mixed	San Francisco	11/2/2013	BASF				1.0	LT017		CA	cpr				shoe	
CPR_SH.LT015	Mixed	San Francisco	11/2/2013	BASF				1.0	LT015		CA	cpr				shoe	
CPR_CP.AE057	Mixed	San Francisco	11/2/2013	BASF				1.0	AE057		CA	cpr				phone	
CPR_CP.AQ034	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ034		CA	cpr				phone	
CPR_SH.AE050	Mixed	San Francisco	11/2/2013	BASF				1.0	AE050		CA	cpr				shoe	
CPR_SH.LT016	Mixed	San Francisco	11/2/2013	BASF				1.0	LT016		CA	cpr				shoe	
CPR_CP.AQ039	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ039		CA	cpr				phone	
CPR_CP.LS087	Mixed	San Francisco	11/2/2013	BASF				1.0	LS087		CA	cpr				phone	
CPR_CP.AE056	Mixed	San Francisco	11/2/2013	BASF				1.0	AE056		CA	cpr				phone	
CPR_SH.LS083	Mixed	San Francisco	11/2/2013	BASF				1.0	LS083		CA	cpr				shoe	
CPR_SH.FY016	Mixed	San Francisco	11/2/2013	BASF				1.0	FY016		CA	cpr				shoe	
CPR_SH.FY011	Mixed	San Francisco	11/2/2013	BASF				1.0	FY011		CA	cpr				shoe	
CPR_CP.LS099	Mixed	San Francisco	11/2/2013	BASF				1.0	LS099		CA	cpr				phone	
CPR_SH.LS089	Mixed	San Francisco	11/2/2013	BASF				1.0	LS089		CA	cpr				shoe	
CPR_SH.LS084	Mixed	San Francisco	11/2/2013	BASF				1.0	LS084		CA	cpr				shoe	
CPR_CP.AQ040	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ040		CA	cpr				phone	
CPR_CP.AE048	Mixed	San Francisco	11/2/2013	BASF				1.0	AE048		CA	cpr				phone	
CPR_CP.AB082	Mixed	San Francisco	11/2/2013	BASF				1.0	AB082		CA	cpr				phone	
CPR_CP.AE050	Mixed	San Francisco	11/2/2013	BASF				1.0	AE050		CA	cpr				phone	
CPR_CP.LT012	Mixed	San Francisco	11/2/2013	BASF				1.0	LT012		CA	cpr				phone	
CPR_CP.AQ031	Mixed	San Francisco	11/2/2013	BASF				1.0	AQ031		CA	cpr				phone	
CPR_SH.FY015	Mixed	San Francisco	11/2/2013	BASF				1.0	FY015		CA	cpr				shoe	
CPR_CP.AB084	Mixed	San Francisco	11/2/2013	BASF				1.0	AB084		CA	cpr				phone	
CPR_CP.FV098	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV098		FL	cpr				phone	
CPR_CP.FV091	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV091		FL	cpr				phone	
CPR_CP.FV099	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV099		FL	cpr				phone	
CPR_SH.FV091	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV091		FL	cpr				shoe	
CPR_SH.FV098	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV098		FL	cpr				shoe	
CPR_SH.FV096	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV096		FL	cpr				shoe	
CPR_SH.FV099	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV099		FL	cpr				shoe	
CPR_SH.FV090	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV090		FL	cpr				shoe	
CPR_CP.FV094	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV094		FL	cpr				phone	
CPR_CP.FV096	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV096		FL	cpr				phone	
CPR_CP.FV093	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV093		FL	cpr				phone	
CPR_SH.FV095	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV095		FL	cpr				shoe	
CPR_CP.FV095	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV095		FL	cpr				phone	
CPR_CP.FV090	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV090		FL	cpr				phone	
CPR_SH.FV094	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV094		FL	cpr				shoe	
CPR_SH.FV093	Adult	Fort Lauderdale	8/14/2013	Broward				2.0	FV093		FL	cpr				shoe	
CPR_SH.LA093	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA093		OR	cpr				shoe	
CPR_SH.LA100	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA100		OR	cpr				shoe	
CPR_CP.LA099	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA099		OR	cpr				phone	
CPR_CP.LA097	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA097		OR	cpr				phone	
CPR_SH.LA099	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA099		OR	cpr				shoe	
CPR_CP.LA095	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA095		OR	cpr				phone	
CPR_SH.LA098	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA098		OR	cpr				shoe	
CPR_CP.LA093	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA093		OR	cpr				phone	
CPR_CP.LA091	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA091		OR	cpr				phone	
CPR_SH.LA097	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA097		OR	cpr				shoe	
CPR_SH.LA091	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA091		OR	cpr				shoe	
CPR_CP.LA098	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA098		OR	cpr				phone	
CPR_CP.LA094	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA094		OR	cpr				phone	
CPR_SH.LA095	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA095		OR	cpr				shoe	
CPR_CP.LA092	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA092		OR	cpr				phone	
CPR_SH.LA092	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA092		OR	cpr				shoe	
CPR_CP.LA100	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA100		OR	cpr				phone	
CPR_CP.LA096	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA096		OR	cpr				phone	
CPR_SH.LA094	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA094		OR	cpr				shoe	
CPR_SH.LA096	Kid	Salem	10/4/2013	ChapmanHill				1.0	LA096		OR	cpr				shoe	
CPR_CP.AG097	Adult	Philadelphia	5/23/2013	CHF				1.0	AG097		PA	cpr				phone	
