	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPJ_279	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_286	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_307	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_321	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_328	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_335	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_342	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_349	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_356	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_363	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_370	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_377	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_384	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_391	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_398	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_405	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_412	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_419	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_215	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_222	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_229	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_236	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_264	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_271	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_278	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_285	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_313	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_320	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_327	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_334	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_341	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_355	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_362	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_369	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_376	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_383	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_390	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_397	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_404	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_411	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_418	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	left_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_217	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_224	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_231	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_238	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_259	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
